Feature,Mean Importance,Lower Bound,Upper Bound
min_value,0.0,0.0,0.0
min_diff,0.0,0.0,0.0
variance,0.012863831364015081,0.0068626667356905,0.018864995992339664
std_deviation,0.01338152489939086,0.007028297865212224,0.019734751933569494
range_value,0.024987647955756167,0.008252571250501672,0.041722724661010666
max_value,0.0256648774272945,0.008600102292157135,0.042729652562431865
autocorr,0.02703924789825938,0.006000010472097579,0.04807848532442118
percentile_25,0.028987721470740385,0.0040037754247768675,0.0539716675167039
sum_diff,0.03458067042157877,0.0029567547202297498,0.0662045861229278
max_diff,0.036263492990269035,0.00816081219694768,0.06436617378359039
mean_diff,0.037648235290303284,0.010643618063322714,0.06465285251728387
unique_count,0.046712730730603155,0.008976229042747651,0.08444923241845866
count,0.047174579513114226,-0.011977168206961725,0.10632632723319017
median,0.050756537071876995,0.01380318093542461,0.08770989320832938
percentile_50,0.05302331433444871,0.014680344705719975,0.09136628396317743
percentile_75,0.05835655573271528,0.03608705214129812,0.08062605932413244
iqr,0.09096247361399235,0.047201659740365796,0.1347232874876189
kurtosis,0.09751837995553178,0.018697886913334148,0.1763388729977294
abs_skewness,0.15398063976019513,0.07397117051043035,0.2339901090099599
mean,0.160097539569915,0.06756458908583861,0.25263049005399135
